district,partisan_lean (%),state_name,Republican/lean Rep.,No lean,Democrat/lean Dem.,lean sample size,firearm ownership,firearm ownership margin of error,has_gun_in_house_True,has_gun_in_house_False,is_gun_owner_True,is_gun_owner_False,political_lean_center,political_lean_right,political_lean_left,lean_sum,right_only_flag,body,model,errors_short,gun_owner_fraction_right_only,for_assault_weapon_ban_True_full_sample_mean,for_assault_weapon_ban_True_full_sample_stderr,for_large_magazine_ban_True_full_sample_mean,for_large_magazine_ban_True_full_sample_stderr,for_background_checks_True_full_sample_mean,for_background_checks_True_full_sample_stderr,for_safe_storage_laws_True_full_sample_mean,for_safe_storage_laws_True_full_sample_stderr
CA-29,50.88554,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.1405723,0.6494276999999999,0.0,0.0,house,baseline,None,0.14285714285714285,0.7701885094254712,0.0368769892336361,0.7251112555627781,0.039133786495379075,0.876018800940047,0.028887216664893245,0.8586679333966698,0.03053543042909528
CA-30,44.7397,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.1713015,0.6186985,0.0,0.0,house,baseline,None,0.1584579228961448,0.7663133156657833,0.037092938419089165,0.7184109205460273,0.03942443117283515,0.8758437921896095,0.028904710023825705,0.8510675533776688,0.031206692958528896
CA-31,29.31257,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.24843715,0.54156285,0.0,0.0,house,baseline,None,0.15860793039651983,0.7487874393719687,0.03801640272664564,0.6978098904945247,0.04025128527960631,0.8682434121706085,0.029646811165180864,0.8394419720986049,0.032179731923523365
CA-32,38.44873,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.20275635,0.58724365,0.0,0.0,house,baseline,None,0.15225761288064404,0.7610130506525327,0.0373812839553113,0.7192359617980899,0.03938923137808196,0.8776938846942347,0.028718826608032696,0.8550927546377318,0.030854799799561503
CA-33,23.13004,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.2793498,0.5106502,0.0,0.0,house,baseline,None,0.16780839041952098,0.7294864743237162,0.0389380486580016,0.679833991699585,0.04089404943572007,0.8630431521576079,0.030135555445682808,0.8384669233461672,0.03225854456546691
CA-34,63.6506,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.076747,0.713253,0.0,0.0,house,baseline,None,0.14295714785739286,0.7773888694434722,0.036463946102478925,0.7299364968248412,0.038917645438929026,0.8744437221861092,0.029043985913556912,0.8589429471473573,0.030510591767413487
CA-35,26.4464,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.262768,0.527232,0.0,0.0,house,baseline,None,0.16310815540777038,0.7427871393569678,0.03831330322760814,0.70006000300015,0.04016575116087601,0.8712935646782339,0.029353064809102346,0.8464923246162308,0.03159712942029408
CA-36,40.48007,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.19259965,0.59740035,0.0,0.0,house,baseline,None,0.1526076303815191,0.7499374968748438,0.03795839936022195,0.7084604230211511,0.039836174480319016,0.8717185859292964,0.029311705685870305,0.8491424571228561,0.03137219184777496
CA-37,72.13327,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.03433365,0.75566635,0.0,0.0,house,baseline,None,0.1409070453522676,0.7872893644682234,0.03587012284889271,0.7462623131156558,0.03814251383038356,0.8839941997099855,0.028069561562284493,0.868568428421421,0.02961576390418504
CA-38,28.38617,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.25306915,0.5369308500000001,0.0,0.0,house,baseline,None,0.16100805040252011,0.7383369168458422,0.03852738991536372,0.6961848092404621,0.04031234693307761,0.8701935096754838,0.02945962355286153,0.8469173458672934,0.03156127757528096
