district,partisan_lean (%),state_name,Republican/lean Rep.,No lean,Democrat/lean Dem.,lean sample size,firearm ownership,firearm ownership margin of error,has_gun_in_house_True,has_gun_in_house_False,is_gun_owner_True,is_gun_owner_False,political_lean_center,political_lean_right,political_lean_left,lean_sum,right_only_flag,body,model
CT-2,2.942917,Connecticut,0.32,0.18,0.5,377.0,0.188,0.028,0.188,0.812,0.188,0.812,0.18,0.39528541500000003,0.42471458500000003,0.0,1.0,house,right_only
CT-3,11.91095,Connecticut,0.32,0.18,0.5,377.0,0.188,0.028,0.188,0.812,0.188,0.812,0.18,0.35044525000000004,0.46955475,0.0,1.0,house,right_only
CT-4,23.32058,Connecticut,0.32,0.18,0.5,377.0,0.188,0.028,0.188,0.812,0.188,0.812,0.18,0.2933971,0.5266029,0.0,1.0,house,right_only
CT-5,2.564117,Connecticut,0.32,0.18,0.5,377.0,0.188,0.028,0.188,0.812,0.188,0.812,0.18,0.39717941500000004,0.422820585,0.0,1.0,house,right_only
DE-1,13.92317,Delaware,0.29,0.17,0.55,301.0,0.387,0.028,0.387,0.613,0.387,0.613,0.17,0.34538415,0.48461584999999996,0.0,1.0,house,right_only
FL-1,-37.97575,Florida,0.37,0.19,0.44,2020.0,0.288,0.028,0.288,0.712,0.288,0.712,0.19,0.59487875,0.21512125000000004,0.0,1.0,house,right_only
FL-2,-16.45658,Florida,0.37,0.19,0.44,2020.0,0.288,0.028,0.288,0.712,0.288,0.712,0.19,0.4872829,0.32271710000000003,0.0,1.0,house,right_only
FL-3,-18.11241,Florida,0.37,0.19,0.44,2020.0,0.288,0.028,0.288,0.712,0.288,0.712,0.19,0.49556205000000003,0.31443795,0.0,1.0,house,right_only
FL-4,-15.25688,Florida,0.37,0.19,0.44,2020.0,0.288,0.028,0.288,0.712,0.288,0.712,0.19,0.48128440000000006,0.3287156,0.0,1.0,house,right_only
FL-5,-23.23915,Florida,0.37,0.19,0.44,2020.0,0.288,0.028,0.288,0.712,0.288,0.712,0.19,0.52119575,0.28880425000000004,0.0,1.0,house,right_only
FL-6,-27.74971,Florida,0.37,0.19,0.44,2020.0,0.288,0.028,0.288,0.712,0.288,0.712,0.19,0.54374855,0.26625145000000006,0.0,1.0,house,right_only
FL-7,-13.93371,Florida,0.37,0.19,0.44,2020.0,0.288,0.028,0.288,0.712,0.288,0.712,0.19,0.47466855,0.33533145000000003,0.0,1.0,house,right_only
FL-8,-22.96675,Florida,0.37,0.19,0.44,2020.0,0.288,0.028,0.288,0.712,0.288,0.712,0.19,0.5198337500000001,0.29016625,0.0,1.0,house,right_only
FL-9,15.97086,Florida,0.37,0.19,0.44,2020.0,0.288,0.028,0.288,0.712,0.288,0.712,0.19,0.32514570000000004,0.4848543,0.0,1.0,house,right_only
FL-10,29.01435,Florida,0.37,0.19,0.44,2020.0,0.288,0.028,0.288,0.712,0.288,0.712,0.19,0.25992825,0.5500717500000001,0.0,1.0,house,right_only
FL-11,-19.28234,Florida,0.37,0.19,0.44,2020.0,0.288,0.028,0.288,0.712,0.288,0.712,0.19,0.5014117,0.30858830000000004,0.0,1.0,house,right_only
FL-12,-33.99388,Florida,0.37,0.19,0.44,2020.0,0.288,0.028,0.288,0.712,0.288,0.712,0.19,0.5749694000000001,0.23503060000000003,0.0,1.0,house,right_only
FL-13,-12.16665,Florida,0.37,0.19,0.44,2020.0,0.288,0.028,0.288,0.712,0.288,0.712,0.19,0.46583325000000003,0.34416675,0.0,1.0,house,right_only
FL-14,13.98686,Florida,0.37,0.19,0.44,2020.0,0.288,0.028,0.288,0.712,0.288,0.712,0.19,0.3350657,0.47493430000000003,0.0,1.0,house,right_only
FL-15,-7.097845,Florida,0.37,0.19,0.44,2020.0,0.288,0.028,0.288,0.712,0.288,0.712,0.19,0.44048922500000004,0.369510775,0.0,1.0,house,right_only
FL-16,-12.77148,Florida,0.37,0.19,0.44,2020.0,0.288,0.028,0.288,0.712,0.288,0.712,0.19,0.46885740000000004,0.3411426,0.0,1.0,house,right_only
FL-17,-22.32818,Florida,0.37,0.19,0.44,2020.0,0.288,0.028,0.288,0.712,0.288,0.712,0.19,0.5166409000000001,0.29335910000000004,0.0,1.0,house,right_only
FL-18,-29.25595,Florida,0.37,0.19,0.44,2020.0,0.288,0.028,0.288,0.712,0.288,0.712,0.19,0.55127975,0.25872025000000004,0.0,1.0,house,right_only
FL-19,-26.32021,Florida,0.37,0.19,0.44,2020.0,0.288,0.028,0.288,0.712,0.288,0.712,0.19,0.53660105,0.27339895000000003,0.0,1.0,house,right_only
FL-20,49.15519,Florida,0.37,0.19,0.44,2020.0,0.288,0.028,0.288,0.712,0.288,0.712,0.19,0.15922405000000003,0.65077595,0.0,1.0,house,right_only
FL-21,-13.59898,Florida,0.37,0.19,0.44,2020.0,0.288,0.028,0.288,0.712,0.288,0.712,0.19,0.4729949,0.33700510000000006,0.0,1.0,house,right_only
FL-22,13.69462,Florida,0.37,0.19,0.44,2020.0,0.288,0.028,0.288,0.712,0.288,0.712,0.19,0.3365269,0.47347310000000004,0.0,1.0,house,right_only
FL-23,8.813388,Florida,0.37,0.19,0.44,2020.0,0.288,0.028,0.288,0.712,0.288,0.712,0.19,0.36093306000000003,0.44906694,0.0,1.0,house,right_only
FL-24,50.99162,Florida,0.37,0.19,0.44,2020.0,0.288,0.028,0.288,0.712,0.288,0.712,0.19,0.15004190000000006,0.6599581,0.0,1.0,house,right_only
FL-25,17.96772,Florida,0.37,0.19,0.44,2020.0,0.288,0.028,0.288,0.712,0.288,0.712,0.19,0.31516140000000004,0.4948386,0.0,1.0,house,right_only
FL-26,-13.60448,Florida,0.37,0.19,0.44,2020.0,0.288,0.028,0.288,0.712,0.288,0.712,0.19,0.4730224,0.33697760000000004,0.0,1.0,house,right_only
FL-27,0.8268887,Florida,0.37,0.19,0.44,2020.0,0.288,0.028,0.288,0.712,0.288,0.712,0.19,0.40086555650000005,0.4091344435,0.0,1.0,house,right_only
FL-28,-3.899812,Florida,0.37,0.19,0.44,2020.0,0.288,0.028,0.288,0.712,0.288,0.712,0.19,0.42449906000000004,0.38550094,0.0,1.0,house,right_only
GA-1,-19.51325,Georgia,0.41,0.18,0.41,968.0,0.377,0.028,0.377,0.623,0.377,0.623,0.18,0.50756625,0.31243375000000007,0.0,1.0,house,right_only
GA-2,4.303485,Georgia,0.41,0.18,0.41,968.0,0.377,0.028,0.377,0.623,0.377,0.623,0.18,0.38848257500000005,0.431517425,0.0,1.0,house,right_only
GA-3,-37.72735,Georgia,0.41,0.18,0.41,968.0,0.377,0.028,0.377,0.623,0.377,0.623,0.18,0.59863675,0.22136325,0.0,1.0,house,right_only
GA-4,50.03138,Georgia,0.41,0.18,0.41,968.0,0.377,0.028,0.377,0.623,0.377,0.623,0.18,0.15984310000000002,0.6601569,0.0,1.0,house,right_only
GA-5,59.93855,Georgia,0.41,0.18,0.41,968.0,0.377,0.028,0.377,0.623,0.377,0.623,0.18,0.11030725000000002,0.7096927500000001,0.0,1.0,house,right_only
GA-6,-24.23505,Georgia,0.41,0.18,0.41,968.0,0.377,0.028,0.377,0.623,0.377,0.623,0.18,0.53117525,0.28882475,0.0,1.0,house,right_only
GA-7,16.06375,Georgia,0.41,0.18,0.41,968.0,0.377,0.028,0.377,0.623,0.377,0.623,0.18,0.32968125000000004,0.49031875,0.0,1.0,house,right_only
GA-8,-34.56982,Georgia,0.41,0.18,0.41,968.0,0.377,0.028,0.377,0.623,0.377,0.623,0.18,0.5828491,0.23715090000000003,0.0,1.0,house,right_only
GA-9,-46.10865,Georgia,0.41,0.18,0.41,968.0,0.377,0.028,0.377,0.623,0.377,0.623,0.18,0.64054325,0.17945675000000005,0.0,1.0,house,right_only
GA-10,-31.15672,Georgia,0.41,0.18,0.41,968.0,0.377,0.028,0.377,0.623,0.377,0.623,0.18,0.5657836,0.2542164,0.0,1.0,house,right_only
GA-11,-24.05728,Georgia,0.41,0.18,0.41,968.0,0.377,0.028,0.377,0.623,0.377,0.623,0.18,0.5302864,0.2897136,0.0,1.0,house,right_only
GA-12,-16.87351,Georgia,0.41,0.18,0.41,968.0,0.377,0.028,0.377,0.623,0.377,0.623,0.18,0.49436755000000004,0.32563245,0.0,1.0,house,right_only
GA-13,52.45722,Georgia,0.41,0.18,0.41,968.0,0.377,0.028,0.377,0.623,0.377,0.623,0.18,0.1477139,0.6722861,0.0,1.0,house,right_only
GA-14,-45.16958,Georgia,0.41,0.18,0.41,968.0,0.377,0.028,0.377,0.623,0.377,0.623,0.18,0.6358479,0.1841521,0.0,1.0,house,right_only
HI-1,31.94248,Hawaii,0.28,0.2,0.51,312.0,0.091,0.032,0.091,0.909,0.091,0.909,0.2,0.24028760000000002,0.5597124,0.0,1.0,house,right_only
HI-2,31.68955,Hawaii,0.28,0.2,0.51,312.0,0.091,0.032,0.091,0.909,0.091,0.909,0.2,0.24155225000000002,0.55844775,0.0,1.0,house,right_only
IA-1,-3.941143,Iowa,0.41,0.19,0.4,330.0,0.385,0.032,0.385,0.615,0.385,0.615,0.19,0.42470571500000004,0.385294285,0.0,1.0,house,right_only
