district,partisan_lean (%),state_name,Republican/lean Rep.,No lean,Democrat/lean Dem.,lean sample size,firearm ownership,firearm ownership margin of error,has_gun_in_house_True,has_gun_in_house_False,is_gun_owner_True,is_gun_owner_False,political_lean_center,political_lean_right,political_lean_left,lean_sum,right_only_flag,body,model
FL-3,-18.11241,Florida,0.37,0.19,0.44,2020.0,0.288,0.028,0.288,0.712,0.288,0.712,0.0,0.59056205,0.40943795,0.0,0.0,house,without_center
FL-4,-15.25688,Florida,0.37,0.19,0.44,2020.0,0.288,0.028,0.288,0.712,0.288,0.712,0.0,0.5762844,0.42371559999999997,0.0,0.0,house,without_center
FL-5,-23.23915,Florida,0.37,0.19,0.44,2020.0,0.288,0.028,0.288,0.712,0.288,0.712,0.0,0.6161957499999999,0.38380425,0.0,0.0,house,without_center
FL-6,-27.74971,Florida,0.37,0.19,0.44,2020.0,0.288,0.028,0.288,0.712,0.288,0.712,0.0,0.63874855,0.36125145000000003,0.0,0.0,house,without_center
FL-7,-13.93371,Florida,0.37,0.19,0.44,2020.0,0.288,0.028,0.288,0.712,0.288,0.712,0.0,0.56966855,0.43033145,0.0,0.0,house,without_center
FL-8,-22.96675,Florida,0.37,0.19,0.44,2020.0,0.288,0.028,0.288,0.712,0.288,0.712,0.0,0.6148337500000001,0.38516625,0.0,0.0,house,without_center
FL-9,15.97086,Florida,0.37,0.19,0.44,2020.0,0.288,0.028,0.288,0.712,0.288,0.712,0.0,0.4201457,0.5798543,0.0,0.0,house,without_center
FL-10,29.01435,Florida,0.37,0.19,0.44,2020.0,0.288,0.028,0.288,0.712,0.288,0.712,0.0,0.35492825,0.64507175,0.0,0.0,house,without_center
FL-11,-19.28234,Florida,0.37,0.19,0.44,2020.0,0.288,0.028,0.288,0.712,0.288,0.712,0.0,0.5964117,0.4035883,0.0,0.0,house,without_center
FL-12,-33.99388,Florida,0.37,0.19,0.44,2020.0,0.288,0.028,0.288,0.712,0.288,0.712,0.0,0.6699694,0.3300306,0.0,0.0,house,without_center
FL-13,-12.16665,Florida,0.37,0.19,0.44,2020.0,0.288,0.028,0.288,0.712,0.288,0.712,0.0,0.56083325,0.43916675,0.0,0.0,house,without_center
FL-14,13.98686,Florida,0.37,0.19,0.44,2020.0,0.288,0.028,0.288,0.712,0.288,0.712,0.0,0.4300657,0.5699343,0.0,0.0,house,without_center
FL-15,-7.097845,Florida,0.37,0.19,0.44,2020.0,0.288,0.028,0.288,0.712,0.288,0.712,0.0,0.535489225,0.464510775,0.0,0.0,house,without_center
FL-16,-12.77148,Florida,0.37,0.19,0.44,2020.0,0.288,0.028,0.288,0.712,0.288,0.712,0.0,0.5638574000000001,0.4361426,0.0,0.0,house,without_center
FL-17,-22.32818,Florida,0.37,0.19,0.44,2020.0,0.288,0.028,0.288,0.712,0.288,0.712,0.0,0.6116409,0.3883591,0.0,0.0,house,without_center
FL-18,-29.25595,Florida,0.37,0.19,0.44,2020.0,0.288,0.028,0.288,0.712,0.288,0.712,0.0,0.6462797499999999,0.35372025,0.0,0.0,house,without_center
FL-19,-26.32021,Florida,0.37,0.19,0.44,2020.0,0.288,0.028,0.288,0.712,0.288,0.712,0.0,0.63160105,0.36839895,0.0,0.0,house,without_center
FL-20,49.15519,Florida,0.37,0.19,0.44,2020.0,0.288,0.028,0.288,0.712,0.288,0.712,0.0,0.25422405000000003,0.74577595,0.0,0.0,house,without_center
FL-21,-13.59898,Florida,0.37,0.19,0.44,2020.0,0.288,0.028,0.288,0.712,0.288,0.712,0.0,0.5679949,0.43200510000000003,0.0,0.0,house,without_center
FL-22,13.69462,Florida,0.37,0.19,0.44,2020.0,0.288,0.028,0.288,0.712,0.288,0.712,0.0,0.4315269,0.5684731000000001,0.0,0.0,house,without_center
FL-23,8.813388,Florida,0.37,0.19,0.44,2020.0,0.288,0.028,0.288,0.712,0.288,0.712,0.0,0.45593306,0.54406694,0.0,0.0,house,without_center
