district,partisan_lean (%),state_name,Republican/lean Rep.,No lean,Democrat/lean Dem.,lean sample size,firearm ownership,firearm ownership margin of error,has_gun_in_house_True,has_gun_in_house_False,is_gun_owner_True,is_gun_owner_False,political_lean_center,political_lean_right,political_lean_left,lean_sum,right_only_flag,body,model,errors_short,gun_owner_fraction_right_only,for_assault_weapon_ban_True_full_sample_mean,for_assault_weapon_ban_True_full_sample_stderr,for_large_magazine_ban_True_full_sample_mean,for_large_magazine_ban_True_full_sample_stderr,for_background_checks_True_full_sample_mean,for_background_checks_True_full_sample_stderr,for_safe_storage_laws_True_full_sample_mean,for_safe_storage_laws_True_full_sample_stderr
CA-23,-15.2223,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.5761115,0.4238885,0.0,0.0,house,without_center,None,0.18595929796489824,0.7143857192859644,0.03959382056199544,0.683859192959648,0.040756294590801406,0.8411670583529176,0.03203926076280065,0.8061653082654132,0.03464965188578501
CA-24,23.94737,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.38026315,0.61973685,0.0,0.0,house,without_center,None,0.16780839041952098,0.7553127656382819,0.03768253730212204,0.7272863643182159,0.03903707044486253,0.8511675583779188,0.031198046688028724,0.8508425421271063,0.031226129316672162
CA-25,12.1035,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.4394825,0.5605175,0.0,0.0,house,without_center,None,0.16535826791339567,0.727936396819841,0.039007939401531924,0.6980849042452123,0.040240892716742006,0.8524426221311066,0.031087379286183412,0.8277413870693535,0.033098543062444634
CA-26,15.22424,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.4238788,0.5761212,0.0,0.0,house,without_center,None,0.16705835291764587,0.7407870393519675,0.03841015972407107,0.7115105755287765,0.03971245151762677,0.8430421521076054,0.0318850595025367,0.8408920446022301,0.03206174373491317
CA-27,7.75737,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.46121315,0.53878685,0.0,0.0,house,without_center,None,0.16855842792139608,0.7316365818290914,0.03884010834153547,0.687884394219711,0.04061500767096892,0.8501425071253562,0.0312864412556868,0.8391919595979799,0.032199980309079286
CA-28,30.3726,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.348137,0.651863,0.0,0.0,house,without_center,None,0.16535826791339567,0.7380869043452173,0.03853926483891779,0.7105605280264014,0.03975122228876674,0.8535426771338567,0.030991260117317277,0.8516925846292315,0.031152573930319803
CA-29,50.88554,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.2455723,0.7544276999999999,0.0,0.0,house,without_center,None,0.1544077203860193,0.7690134506725337,0.03694293388763907,0.7497374868743437,0.037968512493249916,0.8616430821541077,0.03026461902582965,0.8577678883944198,0.030616447000611894
CA-30,44.7397,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.2763015,0.7236985,0.0,0.0,house,without_center,None,0.15975798789939497,0.7689884494224711,0.036944332566696485,0.7492124606230312,0.037995008172252695,0.8475673783689184,0.031506281222766275,0.8577928896444822,0.03061420218059654
CA-31,29.31257,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.35343715,0.64656285,0.0,0.0,house,without_center,None,0.16525826291314566,0.7471623581179059,0.03809775870445967,0.7146607330366519,0.03958237054168003,0.851917595879794,0.03113304444914601,0.8470923546177309,0.03154649042035946
CA-32,38.44873,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.30775635,0.69224365,0.0,0.0,house,without_center,None,0.1583079153957698,0.7546377318865943,0.037717614381597854,0.7209860493024651,0.039314020444573855,0.8418920946047302,0.03197982460729606,0.8523926196309815,0.031091734173710115
CA-33,23.13004,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.3843497999999999,0.6156502,0.0,0.0,house,without_center,None,0.1633581679083954,0.7490374518725936,0.03800382357618657,0.7127606380319016,0.03966111321003984,0.835266763338167,0.03251429076374632,0.8464423221161057,0.03160134172289615
CA-34,63.6506,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.181747,0.818253,0.0,0.0,house,without_center,None,0.14155707785389268,0.7883894194709735,0.03580223609159651,0.7650132506625331,0.037164409327757185,0.8525176258812941,0.03108084465192959,0.8657182859142958,0.029886000734542208
CA-35,26.4464,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.367768,0.632232,0.0,0.0,house,without_center,None,0.16545827291364568,0.7452372618630931,0.03819322258750048,0.719385969298465,0.03938281376789262,0.8486424321216061,0.03141488764584941,0.8451922596129806,0.03170627050521263
CA-36,40.48007,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.29759965,0.70240035,0.0,0.0,house,without_center,None,0.15455772788639432,0.7671133556677834,0.03704871357518692,0.736086804340217,0.03863368532170792,0.8435171758587929,0.03184574197902824,0.852367618380919,0.031093911157074248
CA-37,72.13327,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.13933365,0.86066635,0.0,0.0,house,without_center,None,0.1417070853542677,0.7927146357317866,0.035531523311457675,0.7709135456772838,0.036836097413067766,0.8633181659082954,0.030110079889939776,0.8757937896894845,0.02890970468706108
CA-38,28.38617,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.35806915,0.64193085,0.0,0.0,house,without_center,None,0.16290814540727036,0.7537876893844693,0.03776160728482867,0.7205110255512777,0.03933450821464074,0.8499424971248561,0.03130362980323677,0.8444672233611681,0.03176679721740487
CA-39,23.33524,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.3833238,0.6166762,0.0,0.0,house,without_center,None,0.16900845042252113,0.7356617830891545,0.0386536175219021,0.6969848492424622,0.04028236032705482,0.8411670583529176,0.03203926076280065,0.8431921596079803,0.031872654558652576
CA-40,-3.841196,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.51920598,0.48079402,0.0,0.0,house,without_center,None,0.18735936796839842,0.7231611580579029,0.03921950670489359,0.6866843342167108,0.04065750219258277,0.8496924846242312,0.03132508842648876,0.84059202960148,0.03208623199128443
CA-41,-6.348963,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.531744815,0.468255185,0.0,0.0,house,without_center,None,0.1776088804440222,0.7183609180459023,0.03942655922041717,0.6890344517225861,0.0405739860905865,0.8439421971098555,0.031810475752666684,0.8210410520526026,0.033599298830569495
CA-42,43.72557,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.28137215,0.71862785,0.0,0.0,house,without_center,None,0.15155757787889396,0.7623631181559078,0.03730859811892603,0.7394869743487174,0.03847255727900103,0.843917195859793,0.03181255252647497,0.8586429321466074,0.030537686543852156
CA-43,63.03647,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.18481765,0.81518235,0.0,0.0,house,without_center,None,0.1463073153657683,0.7934396719835992,0.03548554520516475,0.7672133606680334,0.03704317242280719,0.8656682834141707,0.02989070128683345,0.8663433171658583,0.029827126987195515
CA-44,47.29814,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.2635093,0.7364906999999999,0.0,0.0,house,without_center,None,0.1504075203760188,0.7606880344017202,0.03739870537550355,0.7333866693334667,0.038759530269533944,0.8412920646032301,0.03202903001515538,0.8454922746137307,0.03168115385401412
CA-45,4.789704,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.4760514799999999,0.52394852,0.0,0.0,house,without_center,None,0.1711085554277714,0.7304615230761538,0.03889377759186837,0.6961098054902746,0.04031515077988624,0.8375668783439172,0.03233092364661366,0.8286664333216661,0.03302799199873383
CA-46,29.68361,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.35158195,0.64841805,0.0,0.0,house,without_center,None,0.1536076803840192,0.7628631431571579,0.03728154615226635,0.7291364568228411,0.03895388282388796,0.855742787139357,0.03079721616641979,0.8531676583829191,0.03102409514057893
CA-47,6.151937,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.469240315,0.530759685,0.0,0.0,house,without_center,None,0.1751587579378969,0.727886394319716,0.039010183977942384,0.6936596829841493,0.04040604791066746,0.8346917345867293,0.03255977612508698,0.8298414920746038,0.03293786736724787
CA-48,-18.60836,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.5930418,0.4069582,0.0,0.0,house,without_center,None,0.18755937796889843,0.7057102855142757,0.03994586542886893,0.6657832891644582,0.0413477226800098,0.8389669483474174,0.03221818023093036,0.8225161258062903,0.03349058470562054
CA-49,5.716237,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.471418815,0.528581185,0.0,0.0,house,without_center,None,0.17015850792539627,0.7321366068303415,0.03881716496364271,0.7058352917645883,0.039940917574906566,0.8382669133456673,0.03227465949878391,0.8342917145857293,0.032591334700718684
CA-50,27.5448,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.362276,0.637724,0.0,0.0,house,without_center,None,0.1609080454022701,0.7363868193409671,0.038619587702081265,0.7048852442622131,0.039978430587599825,0.840242012100605,0.03211475080681066,0.8389919495974798,0.032216159121412215
